samples,mini_batches,train_loss,lr
3699,234,0.443,0.001
3715,235,0.323,0.001
3731,236,0.7644,0.001
3747,237,0.4484,0.001
3763,238,1.1772,0.001
3779,239,0.6662,0.001
3792,240,0.7837,0.001
3808,241,0.849,0.001
3824,242,0.6516,0.001
3840,243,0.6882,0.001
3856,244,0.505,0.001
3872,245,0.696,0.001
3888,246,0.5185,0.001
3904,247,0.6681,0.001
3920,248,0.6442,0.001
3936,249,0.7019,0.001
3952,250,0.7796,0.001
3968,251,0.5218,0.001
3984,252,0.5128,0.001
4000,253,0.602,0.001
4016,254,0.4524,0.001
4029,255,0.519,0.001
4045,256,0.4191,0.001
4061,257,0.5416,0.001
4077,258,0.6257,0.001
4093,259,0.3555,0.001
4109,260,0.6465,0.001
4125,261,0.6945,0.001
4141,262,0.6826,0.001
4157,263,0.4249,0.001
4173,264,0.5983,0.001
4189,265,0.3843,0.001
4205,266,0.5457,0.001
4221,267,0.5252,0.001
4237,268,0.9298,0.001
4253,269,0.8817,0.001
4266,270,0.4701,0.001
4282,271,0.3877,0.001
4298,272,0.6109,0.001
4314,273,0.7326,0.001
4330,274,0.6027,0.001
4346,275,0.51,0.001
4362,276,0.7571,0.001
4378,277,0.4497,0.001
4394,278,0.8791,0.001
4410,279,0.3223,0.001
4426,280,0.4713,0.001
4442,281,0.6435,0.001
4458,282,0.7615,0.001
4474,283,0.3693,0.001
4490,284,0.6501,0.001
4503,285,0.3269,0.001
4519,286,0.7688,0.001
4535,287,0.4674,0.001
4551,288,0.3043,0.001
4567,289,0.8354,0.001
4583,290,0.4432,0.001
4599,291,0.5197,0.001
4615,292,0.6076,0.001
4631,293,0.4455,0.001
4647,294,0.4087,0.001
4663,295,0.7688,0.001
4679,296,0.4173,0.001
4695,297,0.7862,0.001
4711,298,0.6082,0.001
4727,299,0.4059,0.001
4740,300,0.489,0.001
4756,301,0.3751,0.001
4772,302,0.4638,0.001
4788,303,0.5518,0.001
4804,304,0.8194,0.001
4820,305,0.4423,0.001
4836,306,0.4916,0.001
4852,307,0.4067,0.001
4868,308,0.4314,0.001
4884,309,0.4236,0.001
4900,310,0.6485,0.001
4916,311,0.5784,0.001
4932,312,0.7104,0.001
4948,313,0.1006,0.001
4964,314,0.6195,0.001
4977,315,0.6163,0.001
4993,316,0.2749,0.001
5009,317,0.3181,0.001
5025,318,0.6242,0.001
5041,319,0.2894,0.001
5057,320,0.4063,0.001
5073,321,0.9946,0.001
5089,322,0.7706,0.001
5105,323,0.5677,0.001
5121,324,0.4986,0.001
5137,325,0.4921,0.001
5153,326,0.5047,0.001
5169,327,0.3071,0.001
5185,328,0.4268,0.001
5201,329,0.3201,0.001
5214,330,0.461,0.001
5230,331,0.6569,0.001
5246,332,0.4909,0.001
5262,333,0.4297,0.001
5278,334,0.3583,0.001
5294,335,0.319,0.001
5310,336,0.2881,0.001
5326,337,0.534,0.001
5342,338,0.5926,0.001
5358,339,0.6408,0.001
5374,340,0.539,0.001
5390,341,0.4318,0.001
5406,342,0.4751,0.001
5422,343,0.3215,0.001
5438,344,0.3548,0.001
5451,345,0.3396,0.001
5467,346,0.5003,0.001
5483,347,0.3514,0.001
5499,348,0.2941,0.001
5515,349,0.4511,0.001
5531,350,0.4293,0.001
5547,351,0.3892,0.001
5563,352,0.3731,0.001
5579,353,0.4428,0.001
5595,354,0.4247,0.001
5611,355,0.5629,0.001
5627,356,0.6849,0.001
5643,357,0.3019,0.001
5659,358,0.454,0.001
5675,359,0.4838,0.001
5688,360,0.2763,0.001
5704,361,0.3702,0.001
5720,362,0.4886,0.001
5736,363,0.4284,0.001
5752,364,0.3658,0.001
5768,365,0.2946,0.001
5784,366,0.5173,0.001
5800,367,0.4214,0.001
5816,368,0.4824,0.001
5832,369,0.3917,0.001
5848,370,0.3889,0.001
5864,371,0.4799,0.001
5880,372,0.2969,0.001
5896,373,0.4118,0.001
5912,374,0.2882,0.001
5925,375,0.604,0.001
5941,376,0.4454,0.001
5957,377,0.1813,0.001
5973,378,0.2857,0.001
5989,379,0.5214,0.001
6005,380,0.2609,0.001
6021,381,0.3725,0.001
6037,382,0.4428,0.001
6053,383,0.4569,0.001
6069,384,0.2449,0.001
6085,385,0.3933,0.001
6101,386,0.2641,0.001
6117,387,0.5894,0.001
6133,388,0.5265,0.001
6149,389,0.4404,0.001
6162,390,0.2989,0.001
6178,391,0.3269,0.001
6194,392,0.2927,0.001
6210,393,0.2335,0.001
6226,394,0.3986,0.001
6242,395,0.2041,0.001
6258,396,0.4054,0.001
6274,397,0.3554,0.001
6290,398,0.3158,0.001
6306,399,0.4394,0.001
6322,400,0.3789,0.001
6338,401,0.5949,0.001
6354,402,0.2148,0.001
6370,403,0.3726,0.001
6386,404,0.4353,0.001
6399,405,0.4213,0.001
6415,406,0.2108,0.001
6431,407,0.3103,0.001
6447,408,0.2431,0.001
6463,409,0.4267,0.001
6479,410,0.3983,0.001
6495,411,0.2418,0.001
6511,412,0.2337,0.001
6527,413,0.5645,0.001
6543,414,0.2289,0.001
6559,415,0.3753,0.001
6575,416,0.2212,0.001
6591,417,0.3739,0.001
6607,418,0.5046,0.001
6623,419,0.4636,0.001
6636,420,0.2873,0.001
6652,421,0.3226,0.001
6668,422,0.4175,0.001
6684,423,0.4729,0.001
6700,424,0.195,0.001
6716,425,0.2494,0.001
6732,426,0.1631,0.001
6748,427,0.1988,0.001
6764,428,0.164,0.001
6780,429,0.3551,0.001
6796,430,0.1229,0.001
6812,431,0.5555,0.001
6828,432,0.3824,0.001
6844,433,0.4441,0.001
6860,434,0.4981,0.001
6873,435,0.4055,0.001
6889,436,0.2797,0.001
6905,437,0.1858,0.001
6921,438,0.1806,0.001
6937,439,0.2618,0.001
6953,440,0.4929,0.001
6969,441,0.2552,0.001
6985,442,0.3258,0.001
7001,443,0.3593,0.001
7017,444,0.5322,0.001
7033,445,0.2893,0.001
7049,446,0.3342,0.001
7065,447,0.1466,0.001
7081,448,0.3057,0.001
7097,449,0.1656,0.001
7110,450,0.26,0.001
7126,451,0.2051,0.001
7142,452,0.3142,0.001
7158,453,0.3054,0.001
7174,454,0.485,0.001
7190,455,0.327,0.001
7206,456,0.128,0.001
7222,457,0.2265,0.001
7238,458,0.351,0.001
7254,459,0.3146,0.001
7270,460,0.3895,0.001
7286,461,0.2095,0.001
7302,462,0.1518,0.001
7318,463,0.1303,0.001
7334,464,0.2575,0.001
7347,465,0.2039,0.001
7363,466,0.1841,0.001
7379,467,0.2005,0.001
7395,468,0.2257,0.001
7411,469,0.1164,0.001
7427,470,0.19,0.001
7443,471,0.2305,0.001
7459,472,0.1549,0.001
7475,473,0.2855,0.001
7491,474,0.4281,0.001
7507,475,0.2098,0.001
7523,476,0.2222,0.001
7539,477,0.18,0.001
7555,478,0.273,0.001
7571,479,0.5089,0.001
7584,480,0.3311,0.001
7600,481,0.1699,0.001
7616,482,0.2306,0.001
7632,483,0.1475,0.001
7648,484,0.2738,0.001
7664,485,0.1406,0.001
7680,486,0.1364,0.001
7696,487,0.1723,0.001
7712,488,0.3324,0.001
7728,489,0.0769,0.001
7744,490,0.4142,0.001
7760,491,0.2856,0.001
7776,492,0.2104,0.001
7792,493,0.2135,0.001
7808,494,0.341,0.001
7821,495,0.2173,0.001
7837,496,0.2684,0.001
7853,497,0.131,0.001
7869,498,0.1327,0.001
7885,499,0.2647,0.001
7901,500,0.1102,0.001
7917,501,0.2313,0.001
7933,502,0.2199,0.001
7949,503,0.0994,0.001
7965,504,0.0968,0.001
7981,505,0.4029,0.001
7997,506,0.1272,0.001
8013,507,0.2547,0.001
8029,508,0.2222,0.001
8045,509,0.3667,0.001
8058,510,0.1185,0.001
8074,511,0.0705,0.001
8090,512,0.3153,0.001
8106,513,0.2353,0.001
8122,514,0.224,0.001
8138,515,0.211,0.001
8154,516,0.0756,0.001
8170,517,0.2008,0.001
8186,518,0.1332,0.001
8202,519,0.1247,0.001
8218,520,0.178,0.001
8234,521,0.1483,0.001
8250,522,0.185,0.001
8266,523,0.2075,0.001
8282,524,0.1445,0.001
8295,525,0.4263,0.001
8311,526,0.1864,0.001
8327,527,0.1125,0.001
8343,528,0.1222,0.001
8359,529,0.152,0.001
8375,530,0.2722,0.001
8391,531,0.1238,0.001
8407,532,0.136,0.001
8423,533,0.1574,0.001
8439,534,0.2633,0.001
8455,535,0.2969,0.001
8471,536,0.1047,0.001
8487,537,0.13,0.001
8503,538,0.1263,0.001
8519,539,0.2774,0.001
8532,540,0.1273,0.001
8548,541,0.1452,0.001
8564,542,0.2742,0.001
8580,543,0.1494,0.001
8596,544,0.2486,0.001
8612,545,0.1938,0.001
8628,546,0.1698,0.001
8644,547,0.1193,0.001
8660,548,0.0882,0.001
8676,549,0.15,0.001
8692,550,0.2118,0.001
8708,551,0.1176,0.001
8724,552,0.1586,0.001
8740,553,0.2334,0.001
8756,554,0.1336,0.001
8769,555,0.0345,0.001
8785,556,0.3356,0.001
8801,557,0.1387,0.001
8817,558,0.0883,0.001
8833,559,0.1324,0.001
8849,560,0.0813,0.001
8865,561,0.1418,0.001
8881,562,0.1801,0.001
8897,563,0.074,0.001
8913,564,0.1486,0.001
8929,565,0.0736,0.001
8945,566,0.0639,0.001
8961,567,0.1426,0.001
8977,568,0.2835,0.001
8993,569,0.0821,0.001
9006,570,0.288,0.001
9022,571,0.0995,0.001
9038,572,0.105,0.001
9054,573,0.1279,0.001
9070,574,0.2333,0.001
9086,575,0.1614,0.001
9102,576,0.1777,0.001
9118,577,0.0801,0.001
9134,578,0.2574,0.001
9150,579,0.1245,0.001
9166,580,0.0493,0.001
9182,581,0.1112,0.001
9198,582,0.0607,0.001
9214,583,0.1801,0.001
9230,584,0.1208,0.001
9243,585,0.1016,0.001
9259,586,0.0867,0.001
9275,587,0.0972,0.001
9291,588,0.0288,0.001
9307,589,0.2616,0.001
9323,590,0.1715,0.001
9339,591,0.0487,0.001
9355,592,0.0602,0.001
9371,593,0.1054,0.001
9387,594,0.0899,0.001
9403,595,0.1461,0.001
9419,596,0.2319,0.001
9435,597,0.1635,0.001
9451,598,0.1427,0.001
9467,599,0.1322,0.001
9480,600,0.0588,0.001
9496,601,0.0672,0.001
9512,602,0.0954,0.001
9528,603,0.2468,0.001
9544,604,0.1372,0.001
9560,605,0.0649,0.001
9576,606,0.0474,0.001
9592,607,0.093,0.001
9608,608,0.0634,0.001
9624,609,0.1166,0.001
9640,610,0.1102,0.001
9656,611,0.1065,0.001
9672,612,0.1433,0.001
9688,613,0.2115,0.001
9704,614,0.0857,0.001
9717,615,0.0482,0.001
9733,616,0.0775,0.001
9749,617,0.1008,0.001
9765,618,0.0759,0.001
9781,619,0.0641,0.001
9797,620,0.1952,0.001
9813,621,0.0955,0.001
9829,622,0.1236,0.001
9845,623,0.0659,0.001
9861,624,0.104,0.001
9877,625,0.0514,0.001
9893,626,0.0963,0.001
9909,627,0.1099,0.001
9925,628,0.0295,0.001
9941,629,0.1336,0.001
9954,630,0.1612,0.001
9970,631,0.0547,0.001
9986,632,0.0502,0.001
10002,633,0.0392,0.001
10018,634,0.048,0.001
10034,635,0.1058,0.001
10050,636,0.1593,0.001
10066,637,0.1069,0.001
10082,638,0.0823,0.001
10098,639,0.1053,0.001
10114,640,0.0647,0.001
10130,641,0.0489,0.001
10146,642,0.0732,0.001
10162,643,0.2081,0.001
10178,644,0.0775,0.001
10191,645,0.1395,0.001
10207,646,0.0631,0.001
10223,647,0.0542,0.001
10239,648,0.0499,0.001
10255,649,0.0362,0.001
10271,650,0.072,0.001
10287,651,0.1055,0.001
