samples,mini_batches,train_loss,lr
3699,234,1.3135,0.001
3715,235,1.5115,0.001
3731,236,1.4783,0.001
3747,237,1.3875,0.001
3763,238,1.3756,0.001
3779,239,1.7017,0.001
3792,240,1.4512,0.001
3808,241,1.5181,0.001
3824,242,1.4948,0.001
3840,243,1.4977,0.001
3856,244,1.4222,0.001
3872,245,1.4895,0.001
3888,246,1.4809,0.001
3904,247,1.5063,0.001
3920,248,1.5353,0.001
3936,249,1.4348,0.001
3952,250,1.2391,0.001
3968,251,1.5166,0.001
3984,252,1.3924,0.001
4000,253,1.3945,0.001
4016,254,1.5762,0.001
4029,255,1.3092,0.001
4045,256,1.3922,0.001
4061,257,1.5123,0.001
4077,258,1.5239,0.001
4093,259,1.4432,0.001
4109,260,1.3288,0.001
4125,261,1.3872,0.001
4141,262,1.321,0.001
4157,263,1.4032,0.001
4173,264,1.4347,0.001
4189,265,1.3021,0.001
4205,266,1.6274,0.001
4221,267,1.5863,0.001
4237,268,1.4164,0.001
4253,269,1.5508,0.001
4266,270,1.5034,0.001
4282,271,1.503,0.001
4298,272,1.4027,0.001
4314,273,1.2985,0.001
4330,274,1.4675,0.001
4346,275,1.3139,0.001
4362,276,1.4605,0.001
4378,277,1.2531,0.001
4394,278,1.7097,0.001
4410,279,1.4848,0.001
4426,280,1.4327,0.001
4442,281,1.6247,0.001
4458,282,1.4008,0.001
4474,283,1.2943,0.001
4490,284,1.5157,0.001
4503,285,1.45,0.001
4519,286,1.4702,0.001
4535,287,1.4117,0.001
4551,288,1.4974,0.001
4567,289,1.2351,0.001
4583,290,1.4369,0.001
4599,291,1.4459,0.001
4615,292,1.6043,0.001
4631,293,1.4775,0.001
4647,294,1.4346,0.001
4663,295,1.3058,0.001
4679,296,1.2977,0.001
4695,297,1.4331,0.001
4711,298,1.4154,0.001
4727,299,1.4165,0.001
4740,300,1.6597,0.001
4756,301,1.4825,0.001
4772,302,1.3677,0.001
4788,303,1.2765,0.001
4804,304,1.2428,0.001
4820,305,1.5585,0.001
4836,306,1.4615,0.001
4852,307,1.4427,0.001
4868,308,1.507,0.001
4884,309,1.3706,0.001
4900,310,1.4151,0.001
4916,311,1.3037,0.001
4932,312,1.5812,0.001
4948,313,1.5563,0.001
4964,314,1.503,0.001
4977,315,1.2989,0.001
4993,316,1.4589,0.001
5009,317,1.4955,0.001
5025,318,1.4745,0.001
5041,319,1.431,0.001
5057,320,1.4091,0.001
5073,321,1.5494,0.001
5089,322,1.4311,0.001
5105,323,1.2846,0.001
5121,324,1.5577,0.001
5137,325,1.3799,0.001
5153,326,1.3622,0.001
5169,327,1.4295,0.001
5185,328,1.3157,0.001
5201,329,1.2657,0.001
5214,330,1.4456,0.001
5230,331,1.5889,0.001
5246,332,1.3106,0.001
5262,333,1.3595,0.001
5278,334,1.4071,0.001
5294,335,1.4865,0.001
5310,336,1.2714,0.001
5326,337,1.4471,0.001
5342,338,1.5656,0.001
5358,339,1.3664,0.001
5374,340,1.3137,0.001
5390,341,1.367,0.001
5406,342,1.5184,0.001
5422,343,1.3795,0.001
5438,344,1.4509,0.001
5451,345,1.3322,0.001
5467,346,1.2882,0.001
5483,347,1.4458,0.001
5499,348,1.6274,0.001
5515,349,1.4444,0.001
5531,350,1.4941,0.001
5547,351,1.407,0.001
5563,352,1.4351,0.001
5579,353,1.2282,0.001
5595,354,1.5041,0.001
5611,355,1.2473,0.001
5627,356,1.4717,0.001
5643,357,1.4063,0.001
5659,358,1.3091,0.001
5675,359,1.3442,0.001
5688,360,1.4267,0.001
5704,361,1.2419,0.001
5720,362,1.3009,0.001
5736,363,1.4293,0.001
5752,364,1.3035,0.001
5768,365,1.4671,0.001
5784,366,1.5256,0.001
5800,367,1.424,0.001
5816,368,1.4275,0.001
5832,369,1.3372,0.001
5848,370,1.4623,0.001
5864,371,1.4516,0.001
5880,372,1.3234,0.001
5896,373,1.1988,0.001
5912,374,1.5093,0.001
5925,375,1.6103,0.001
5941,376,1.3705,0.001
5957,377,1.3911,0.001
5973,378,1.2825,0.001
5989,379,1.2243,0.001
6005,380,1.4646,0.001
6021,381,1.4157,0.001
