samples,mini_batches,train_loss
6480,405,nan
6496,406,nan
6497,407,nan
6513,408,nan
6529,409,nan
6545,410,nan
6561,411,nan
6577,412,nan
6593,413,nan
6609,414,nan
6625,415,nan
6641,416,nan
6657,417,nan
6673,418,nan
6689,419,nan
6705,420,nan
6721,421,nan
6737,422,nan
6753,423,nan
6769,424,nan
6785,425,nan
6801,426,nan
6817,427,nan
6833,428,nan
6849,429,nan
6865,430,nan
6881,431,nan
6897,432,nan
6913,433,nan
6929,434,nan
6945,435,nan
6961,436,nan
6977,437,nan
6993,438,nan
7009,439,nan
7025,440,nan
7041,441,nan
7057,442,nan
7073,443,nan
7089,444,nan
7105,445,nan
7121,446,nan
7137,447,nan
7153,448,nan
7169,449,nan
7185,450,nan
7201,451,nan
7217,452,nan
7233,453,nan
7249,454,nan
7265,455,nan
7281,456,nan
7297,457,nan
7313,458,nan
7329,459,nan
7345,460,nan
7361,461,nan
7377,462,nan
7393,463,nan
7409,464,nan
7425,465,nan
7441,466,nan
7457,467,nan
7473,468,nan
7489,469,nan
7505,470,nan
7521,471,nan
7537,472,nan
7553,473,nan
7569,474,nan
7585,475,nan
7601,476,nan
7617,477,nan
7633,478,nan
7649,479,nan
7665,480,nan
7681,481,nan
7697,482,nan
7713,483,nan
7729,484,nan
7745,485,nan
7761,486,nan
7777,487,nan
7793,488,nan
7809,489,nan
7825,490,nan
7841,491,nan
7857,492,nan
7873,493,nan
7889,494,nan
7905,495,nan
7921,496,nan
7937,497,nan
7953,498,nan
7969,499,nan
7985,500,nan
