samples,mini_batches,train_loss,lr
3744,234,0.2014,0.001
3760,235,0.3179,0.001
3776,236,0.0554,0.001
3792,237,0.1464,0.001
3808,238,0.3535,0.001
3824,239,0.3391,0.001
3840,240,0.0792,0.001
3856,241,0.5813,0.001
3872,242,0.3753,0.001
3888,243,0.2038,0.001
3904,244,0.5391,0.001
3920,245,0.0964,0.001
3936,246,0.2876,0.001
3952,247,0.2198,0.001
3968,248,0.6826,0.001
3984,249,0.1962,0.001
4000,250,0.1965,0.001
4016,251,0.1833,0.001
4032,252,0.26,0.001
4048,253,0.0549,0.001
4064,254,0.4016,0.001
4080,255,0.2125,0.001
4096,256,0.2142,0.001
4112,257,0.2199,0.001
4128,258,0.1882,0.001
4144,259,0.2902,0.001
4160,260,0.2003,0.001
4176,261,0.3719,0.001
4192,262,0.4709,0.001
4208,263,0.233,0.001
4224,264,0.2416,0.001
4240,265,0.1313,0.001
4256,266,0.5828,0.001
4272,267,0.189,0.001
4288,268,0.2653,0.001
4304,269,0.3397,0.001
4320,270,0.1851,0.001
4336,271,0.1673,0.001
4352,272,0.0676,0.001
4368,273,0.1008,0.001
4384,274,0.3257,0.001
4400,275,0.3756,0.001
4416,276,0.3413,0.001
4432,277,0.2378,0.001
4448,278,0.3772,0.001
4464,279,0.2399,0.001
4480,280,0.2325,0.001
4496,281,0.2307,0.001
4512,282,0.2974,0.001
4528,283,0.2379,0.001
4544,284,0.147,0.001
4560,285,0.1473,0.001
4576,286,0.1556,0.001
4592,287,0.1706,0.001
4608,288,0.0619,0.001
4624,289,0.2378,0.001
4640,290,0.5059,0.001
4656,291,0.1921,0.001
4672,292,0.2526,0.001
4688,293,0.0787,0.001
4704,294,0.0976,0.001
4720,295,0.337,0.001
4736,296,0.0307,0.001
4752,297,0.1171,0.001
4768,298,0.0324,0.001
4784,299,0.1049,0.001
4800,300,0.0914,0.001
4816,301,0.0946,0.001
4832,302,0.2672,0.001
4848,303,0.2151,0.001
4864,304,0.1128,0.001
4880,305,0.0837,0.001
4896,306,0.1131,0.001
4912,307,0.1027,0.001
4928,308,0.1777,0.001
4944,309,0.7412,0.001
4960,310,0.2798,0.001
4976,311,0.2922,0.001
4992,312,0.3488,0.001
5008,313,0.2726,0.001
5024,314,0.1992,0.001
5040,315,0.316,0.001
5056,316,0.4213,0.001
5072,317,0.1501,0.001
5088,318,0.7073,0.001
5104,319,0.1412,0.001
5120,320,0.2889,0.001
5136,321,0.4499,0.001
5152,322,0.5304,0.001
5168,323,0.403,0.001
5184,324,0.3483,0.001
5200,325,0.1498,0.001
5216,326,0.3393,0.001
5232,327,0.195,0.001
5248,328,0.1895,0.001
5264,329,0.3873,0.001
5280,330,0.5199,0.001
5296,331,0.061,0.001
5312,332,0.0542,0.001
5328,333,0.061,0.001
5344,334,0.4433,0.001
5360,335,0.3694,0.001
5376,336,0.0456,0.001
5392,337,0.1435,0.001
5408,338,0.2858,0.001
5424,339,0.1695,0.001
5440,340,0.1993,0.001
5456,341,0.1261,0.001
5472,342,0.0697,0.001
5488,343,0.3811,0.001
5504,344,0.0862,0.001
5520,345,0.1548,0.001
5536,346,0.2199,0.001
5552,347,0.3575,0.001
5568,348,0.3582,0.001
5584,349,0.3971,0.001
5600,350,0.1853,0.001
5616,351,0.2281,0.001
5632,352,0.2194,0.001
5648,353,0.1075,0.001
5664,354,0.4269,0.001
5680,355,0.3076,0.001
5696,356,0.4262,0.001
5712,357,0.3392,0.001
5728,358,0.1218,0.001
5744,359,0.2084,0.001
5760,360,0.1306,0.001
5776,361,0.0478,0.001
5792,362,0.1429,0.001
5808,363,0.0973,0.001
5824,364,0.3768,0.001
5840,365,0.4013,0.001
5856,366,0.1083,0.001
5872,367,0.1748,0.001
5888,368,0.2587,0.001
5904,369,0.1662,0.001
5920,370,0.4103,0.001
5936,371,0.2011,0.001
5952,372,0.2993,0.001
5968,373,0.0733,0.001
5984,374,0.0821,0.001
6000,375,0.1872,0.001
6016,376,0.6918,0.001
6032,377,0.3346,0.001
6048,378,0.3432,0.001
6064,379,0.2626,0.001
6080,380,0.121,0.001
6096,381,0.1653,0.001
6112,382,0.2502,0.001
6128,383,0.2287,0.001
6144,384,0.2671,0.001
6160,385,0.2695,0.001
6176,386,0.1494,0.001
6192,387,0.0415,0.001
6208,388,0.2017,0.001
6224,389,0.0941,0.001
6240,390,0.2207,0.001
6256,391,0.0662,0.001
6272,392,0.2176,0.001
6288,393,0.1078,0.001
6304,394,0.0775,0.001
6320,395,0.3199,0.001
6336,396,0.2206,0.001
6352,397,0.4132,0.001
6368,398,0.3136,0.001
6384,399,0.0226,0.001
6400,400,0.0764,0.001
6416,401,0.3786,0.001
6432,402,0.1681,0.001
6448,403,0.1555,0.001
6464,404,0.2621,0.001
6480,405,0.3459,0.001
6496,406,0.1803,0.001
6497,407,0.1481,0.001
6513,408,0.4857,0.001
6529,409,0.175,0.001
6545,410,0.4191,0.001
6561,411,0.2222,0.001
6577,412,0.2093,0.001
6593,413,0.2521,0.001
6609,414,0.0689,0.001
6625,415,0.1748,0.001
6641,416,0.0525,0.001
6657,417,0.1987,0.001
6673,418,0.0944,0.001
6689,419,0.3246,0.001
6705,420,0.0121,0.001
6721,421,0.0547,0.001
6737,422,0.5532,0.001
6753,423,0.386,0.001
6769,424,0.0465,0.001
6785,425,0.0979,0.001
6801,426,0.1897,0.001
6817,427,0.5295,0.001
6833,428,0.3235,0.001
6849,429,0.195,0.001
6865,430,0.036,0.001
6881,431,0.0355,0.001
6897,432,0.4178,0.001
6913,433,0.0955,0.001
6929,434,0.0327,0.001
6945,435,0.1394,0.001
6961,436,0.1629,0.001
6977,437,0.0868,0.001
6993,438,0.4661,0.001
7009,439,0.2242,0.001
7025,440,0.2408,0.001
7041,441,0.1955,0.001
7057,442,0.112,0.001
7073,443,0.4082,0.001
7089,444,0.0403,0.001
7105,445,0.059,0.001
7121,446,0.1234,0.001
7137,447,0.0729,0.001
7153,448,0.3143,0.001
7169,449,0.0567,0.001
7185,450,0.1404,0.001
7201,451,0.1097,0.001
7217,452,0.1908,0.001
7233,453,0.1695,0.001
7249,454,0.2992,0.001
7265,455,0.1676,0.001
7281,456,0.196,0.001
7297,457,0.1155,0.001
7313,458,0.9131,0.001
7329,459,0.1991,0.001
7345,460,0.2542,0.001
7361,461,0.1536,0.001
7377,462,0.7441,0.001
7393,463,0.4705,0.001
7409,464,0.2919,0.001
7425,465,0.2335,0.001
7441,466,0.0774,0.001
7457,467,0.2393,0.001
7473,468,0.3044,0.001
7489,469,0.2022,0.001
7505,470,0.391,0.001
7521,471,0.0949,0.001
7537,472,0.1564,0.001
7553,473,0.071,0.001
7569,474,0.3534,0.001
7585,475,0.2817,0.001
7601,476,0.1911,0.001
7617,477,0.0676,0.001
7633,478,0.4902,0.001
7649,479,0.1319,0.001
7665,480,0.1718,0.001
7681,481,0.1927,0.001
7697,482,0.0561,0.001
7713,483,0.341,0.001
7729,484,0.0689,0.001
7745,485,0.686,0.001
7761,486,0.1757,0.001
7777,487,0.2887,0.001
7793,488,0.1826,0.001
7809,489,0.1259,0.001
7825,490,0.2516,0.001
7841,491,0.075,0.001
7857,492,0.088,0.001
7873,493,0.2069,0.001
7889,494,0.0848,0.001
7905,495,0.1315,0.001
7921,496,0.0839,0.001
7937,497,0.0639,0.001
7953,498,0.2176,0.001
7969,499,0.4945,0.001
7985,500,0.1746,0.001
8001,501,0.0564,0.001
8017,502,0.1694,0.001
8033,503,0.1951,0.001
8049,504,0.1372,0.001
8065,505,0.0515,0.001
8081,506,0.0759,0.001
8097,507,0.1725,0.001
8113,508,0.1086,0.001
8129,509,0.4046,0.001
8145,510,0.3179,0.001
8161,511,0.1917,0.001
8177,512,0.2621,0.001
8193,513,0.0225,0.001
8209,514,0.0497,0.001
8225,515,0.0594,0.001
8241,516,0.3677,0.001
8257,517,0.679,0.001
8273,518,0.0855,0.001
8289,519,0.5229,0.001
8305,520,0.0519,0.001
8321,521,0.0639,0.001
8337,522,0.3256,0.001
8353,523,0.1086,0.001
8369,524,0.1695,0.001
8385,525,0.0582,0.001
8401,526,0.3557,0.001
8417,527,0.1549,0.001
8433,528,0.2358,0.001
8449,529,0.3101,0.001
8465,530,0.1625,0.001
8481,531,0.1214,0.001
8497,532,0.0718,0.001
8513,533,0.1214,0.001
8529,534,0.1201,0.001
8545,535,0.1691,0.001
8561,536,0.0983,0.001
8577,537,0.2436,0.001
8593,538,0.6918,0.001
8609,539,0.1523,0.001
8625,540,0.3443,0.001
8641,541,0.0912,0.001
8657,542,0.1881,0.001
8673,543,0.0621,0.001
8689,544,0.2689,0.001
8705,545,0.3614,0.001
8721,546,0.0288,0.001
8737,547,0.1521,0.001
8753,548,0.2894,0.001
8769,549,0.1535,0.001
8785,550,0.0344,0.001
8801,551,0.1311,0.001
8817,552,0.067,0.001
8833,553,0.1067,0.001
8849,554,0.0899,0.001
8865,555,0.1508,0.001
8881,556,0.3114,0.001
8897,557,0.223,0.001
8913,558,0.0869,0.001
8929,559,0.2652,0.001
8945,560,0.02,0.001
8961,561,0.4218,0.001
8977,562,0.0764,0.001
8993,563,0.2034,0.001
9009,564,0.1323,0.001
9025,565,0.0573,0.001
9041,566,0.3909,0.001
9057,567,0.0753,0.001
9073,568,0.1285,0.001
9089,569,0.13,0.001
9105,570,0.3223,0.001
9121,571,0.0868,0.001
9137,572,0.1609,0.001
9153,573,0.0948,0.001
9169,574,0.2326,0.001
9185,575,0.0396,0.001
9201,576,0.1811,0.001
9217,577,0.0156,0.001
9233,578,0.4407,0.001
9249,579,0.1241,0.001
9265,580,0.0252,0.001
9281,581,0.1025,0.001
9297,582,0.2572,0.001
9313,583,0.039,0.001
9329,584,0.2007,0.001
9345,585,0.2467,0.001
9361,586,0.4159,0.001
9377,587,0.0537,0.001
9393,588,0.4113,0.001
9409,589,0.0195,0.001
9425,590,0.3614,0.001
9441,591,0.2294,0.001
9457,592,0.3541,0.001
9473,593,0.0407,0.001
9489,594,0.2269,0.001
9505,595,0.1219,0.001
9521,596,0.2034,0.001
9537,597,0.2413,0.001
9553,598,0.2526,0.001
9569,599,0.1802,0.001
9585,600,0.0709,0.001
9601,601,0.3929,0.001
9617,602,0.3004,0.001
9633,603,0.101,0.001
9649,604,0.256,0.001
9665,605,0.5415,0.001
9681,606,0.0555,0.001
9697,607,0.0713,0.001
9713,608,0.2775,0.001
9729,609,0.1477,0.001
9745,610,0.0978,0.001
9761,611,0.3105,0.001
9777,612,0.1485,0.001
9793,613,0.2411,0.001
9809,614,0.0647,0.001
9825,615,0.0881,0.001
9841,616,0.0251,0.001
9857,617,0.0848,0.001
9873,618,0.3478,0.001
9889,619,0.388,0.001
9905,620,0.1997,0.001
9921,621,0.1165,0.001
9937,622,0.0393,0.001
9953,623,0.2784,0.001
9969,624,0.0649,0.001
9985,625,0.0474,0.001
10001,626,0.0513,0.001
10017,627,0.0393,0.001
10033,628,0.2276,0.001
10049,629,0.3553,0.001
10065,630,0.0652,0.001
10081,631,0.0736,0.001
10097,632,0.1615,0.001
10113,633,0.1417,0.001
10129,634,0.1418,0.001
10145,635,0.1726,0.001
10161,636,0.2357,0.001
10177,637,0.398,0.001
10193,638,0.3192,0.001
10209,639,0.1799,0.001
10225,640,0.5415,0.001
10241,641,0.1706,0.001
10257,642,0.1681,0.001
10273,643,0.0944,0.001
10289,644,0.1182,0.001
10305,645,0.3622,0.001
10321,646,0.1057,0.001
10337,647,0.2407,0.001
10353,648,0.3206,0.001
10369,649,0.171,0.001
10385,650,0.2269,0.001
10401,651,0.3065,0.001
10417,652,0.118,0.001
10433,653,0.0217,0.001
10449,654,0.0424,0.001
10465,655,0.1739,0.001
10481,656,0.2848,0.001
10497,657,0.1107,0.001
10513,658,0.3306,0.001
10529,659,0.0338,0.001
10545,660,0.6094,0.001
10561,661,0.3531,0.001
10577,662,0.0409,0.001
10593,663,0.0208,0.001
10609,664,0.0924,0.001
10625,665,0.0852,0.001
10641,666,0.344,0.001
10657,667,0.4579,0.001
10673,668,0.5558,0.001
10689,669,0.1886,0.001
10705,670,0.4728,0.001
10721,671,0.1396,0.001
10737,672,0.2207,0.001
10753,673,0.1965,0.001
10769,674,0.1297,0.001
10785,675,0.13,0.001
10801,676,0.3587,0.001
10817,677,0.2229,0.001
10833,678,0.4883,0.001
10849,679,0.2927,0.001
10865,680,0.1297,0.001
10881,681,0.0745,0.001
10897,682,0.2248,0.001
10913,683,0.1535,0.001
10929,684,0.0643,0.001
10945,685,0.2035,0.001
10961,686,0.0514,0.001
10977,687,0.2136,0.001
10993,688,0.6504,0.001
11009,689,0.2232,0.001
11025,690,0.0934,0.001
11041,691,0.0695,0.001
11057,692,0.1801,0.001
11073,693,0.0924,0.001
11089,694,0.0594,0.001
11105,695,0.2053,0.001
11121,696,0.0471,0.001
11137,697,0.1602,0.001
11153,698,0.4364,0.001
11169,699,0.1515,0.001
11185,700,0.3497,0.001
11201,701,0.1515,0.001
11217,702,0.1168,0.001
11233,703,0.1793,0.001
11249,704,0.1623,0.001
11265,705,0.1882,0.001
11281,706,0.0964,0.001
11297,707,0.1053,0.001
11313,708,0.3618,0.001
11329,709,0.1934,0.001
11345,710,0.1696,0.001
11361,711,0.19,0.001
11377,712,0.0717,0.001
11393,713,0.1125,0.001
11409,714,0.3176,0.001
11425,715,0.1304,0.001
11441,716,0.0656,0.001
11457,717,0.0737,0.001
11473,718,0.0759,0.001
11489,719,0.0531,0.001
11505,720,0.0294,0.001
11521,721,0.1387,0.001
11537,722,0.1771,0.001
11553,723,0.0432,0.001
11569,724,0.262,0.001
11585,725,0.0432,0.001
11601,726,0.1896,0.001
11617,727,0.1115,0.001
11633,728,0.0656,0.001
11649,729,0.2083,0.001
11665,730,0.1071,0.001
11681,731,0.1231,0.001
11697,732,0.0365,0.001
11713,733,0.1246,0.001
11729,734,0.1847,0.001
11745,735,0.2682,0.001
11761,736,0.1568,0.001
11777,737,0.0381,0.001
11793,738,0.3785,0.001
11809,739,0.0438,0.001
11825,740,0.0616,0.001
11841,741,0.024,0.001
11857,742,0.0225,0.001
11873,743,0.2285,0.001
11889,744,0.8651,0.001
11905,745,0.4324,0.001
11921,746,0.4258,0.001
11937,747,0.4666,0.001
11953,748,0.0431,0.001
11969,749,0.222,0.001
11985,750,0.2451,0.001
12001,751,0.0578,0.001
12017,752,0.0484,0.001
12033,753,0.1741,0.001
12049,754,0.139,0.001
12065,755,0.1892,0.001
12081,756,0.2685,0.001
12097,757,0.146,0.001
12113,758,0.2708,0.001
12129,759,0.1769,0.001
12145,760,0.6723,0.001
12161,761,0.0813,0.001
12177,762,0.1946,0.001
12193,763,0.0838,0.001
12209,764,0.0415,0.001
12225,765,0.0693,0.001
12241,766,0.0506,0.001
12257,767,0.0532,0.001
12273,768,0.6104,0.001
12289,769,0.2187,0.001
12305,770,0.0562,0.001
12321,771,0.0506,0.001
12337,772,0.3068,0.001
12353,773,0.3267,0.001
12369,774,0.0175,0.001
12385,775,0.0198,0.001
12401,776,0.3378,0.001
12417,777,0.051,0.001
12433,778,0.0289,0.001
12449,779,0.1576,0.001
12465,780,0.3197,0.001
12481,781,0.3076,0.001
12497,782,0.0512,0.001
12513,783,0.3975,0.001
12529,784,0.1928,0.001
12545,785,0.1143,0.001
12561,786,0.1977,0.001
12577,787,0.1227,0.001
12593,788,0.2832,0.001
12609,789,0.7146,0.001
12625,790,0.047,0.001
12641,791,0.0428,0.001
12657,792,0.2664,0.001
12673,793,0.3602,0.001
12689,794,0.257,0.001
12705,795,0.6986,0.001
12721,796,0.1483,0.001
12737,797,0.1978,0.001
12753,798,0.1585,0.001
12769,799,0.2017,0.001
12785,800,0.2726,0.001
12801,801,0.1272,0.001
12817,802,0.2741,0.001
12833,803,0.1342,0.001
12849,804,0.362,0.001
12865,805,0.2737,0.001
12881,806,0.1938,0.001
12897,807,0.1171,0.001
12913,808,0.2647,0.001
12929,809,0.2349,0.001
12945,810,0.1034,0.001
12961,811,0.1486,0.001
12977,812,0.2563,0.001
12993,813,0.4215,0.001
12994,814,0.0603,0.001
