samples,mini_batches,train_loss,lr
3660,234,1.582,0.001
3676,235,1.5855,0.001
3692,236,1.6008,0.001
3708,237,1.5858,0.001
3724,238,1.6006,0.001
3740,239,1.6327,0.001
3756,240,1.6219,0.001
3772,241,1.6054,0.001
3788,242,1.6345,0.001
3804,243,1.5875,0.001
3820,244,1.6115,0.001
3836,245,1.5938,0.001
3852,246,1.5799,0.001
3861,247,1.6174,0.001
3877,248,1.612,0.001
3893,249,1.6477,0.001
3909,250,1.6297,0.001
3925,251,1.606,0.001
3941,252,1.5947,0.001
3957,253,1.5863,0.001
3973,254,1.6142,0.001
3989,255,1.5803,0.001
4005,256,1.5811,0.001
4021,257,1.5901,0.001
4037,258,1.6099,0.001
4053,259,1.5758,0.001
4069,260,1.5887,0.001
4085,261,1.6244,0.001
4101,262,1.5923,0.001
4117,263,1.5938,0.001
4133,264,1.5949,0.001
4149,265,1.6118,0.001
4158,266,1.6115,0.001
4174,267,1.5962,0.001
4190,268,1.5766,0.001
4206,269,1.6022,0.001
4222,270,1.6153,0.001
4238,271,1.6089,0.001
4254,272,1.5751,0.001
4270,273,1.5997,0.001
4286,274,1.574,0.001
4302,275,1.6078,0.001
4318,276,1.5977,0.001
4334,277,1.612,0.001
4350,278,1.6087,0.001
4366,279,1.5974,0.001
4382,280,1.606,0.001
4398,281,1.6094,0.001
4414,282,1.5989,0.001
4430,283,1.5963,0.001
4446,284,1.5918,0.001
4455,285,1.5897,0.001
4471,286,1.58,0.001
4487,287,1.6226,0.001
4503,288,1.5791,0.001
4519,289,1.5913,0.001
4535,290,1.591,0.001
4551,291,1.5893,0.001
4567,292,1.6085,0.001
4583,293,1.5949,0.001
4599,294,1.6031,0.001
4615,295,1.5916,0.001
4631,296,1.6301,0.001
4647,297,1.5698,0.001
4663,298,1.5736,0.001
4679,299,1.621,0.001
4695,300,1.5646,0.001
4711,301,1.5844,0.001
4727,302,1.6032,0.001
4743,303,1.5874,0.001
4752,304,1.6194,0.001
4768,305,1.592,0.001
4784,306,1.5744,0.001
4800,307,1.5971,0.001
4816,308,1.6183,0.001
4832,309,1.6028,0.001
4848,310,1.5952,0.001
4864,311,1.5746,0.001
4880,312,1.6011,0.001
4896,313,1.5934,0.001
4912,314,1.5905,0.001
4928,315,1.5841,0.001
4944,316,1.5812,0.001
4960,317,1.5703,0.001
4976,318,1.5788,0.001
4992,319,1.5754,0.001
5008,320,1.6116,0.001
5024,321,1.5864,0.001
5040,322,1.5754,0.001
5049,323,1.6436,0.001
5065,324,1.5903,0.001
5081,325,1.5861,0.001
5097,326,1.5736,0.001
5113,327,1.61,0.001
5129,328,1.6156,0.001
5145,329,1.599,0.001
5161,330,1.5588,0.001
5177,331,1.6106,0.001
5193,332,1.5683,0.001
5209,333,1.6034,0.001
5225,334,1.602,0.001
5241,335,1.5665,0.001
5257,336,1.5836,0.001
5273,337,1.6097,0.001
5289,338,1.5552,0.001
5305,339,1.5885,0.001
5321,340,1.5949,0.001
5337,341,1.5514,0.001
5346,342,1.5852,0.001
5362,343,1.5923,0.001
5378,344,1.5855,0.001
5394,345,1.5949,0.001
5410,346,1.5713,0.001
5426,347,1.5769,0.001
5442,348,1.5865,0.001
5458,349,1.5877,0.001
5474,350,1.5996,0.001
5490,351,1.5854,0.001
5506,352,1.5944,0.001
5522,353,1.5812,0.001
5538,354,1.6047,0.001
5554,355,1.5597,0.001
5570,356,1.5748,0.001
5586,357,1.5813,0.001
5602,358,1.5802,0.001
5618,359,1.56,0.001
5634,360,1.5878,0.001
5643,361,1.5769,0.001
5659,362,1.5638,0.001
5675,363,1.5663,0.001
5691,364,1.5669,0.001
5707,365,1.5669,0.001
5723,366,1.5689,0.001
5739,367,1.5999,0.001
5755,368,1.5756,0.001
5771,369,1.6084,0.001
5787,370,1.588,0.001
5803,371,1.6143,0.001
5819,372,1.5728,0.001
5835,373,1.6086,0.001
5851,374,1.5922,0.001
5867,375,1.5923,0.001
5883,376,1.5768,0.001
5899,377,1.5272,0.001
5915,378,1.5503,0.001
5931,379,1.601,0.001
5940,380,1.5698,0.001
5956,381,1.574,0.001
5972,382,1.5608,0.001
5988,383,1.5783,0.001
6004,384,1.5511,0.001
6020,385,1.5702,0.001
6036,386,1.5996,0.001
6052,387,1.5662,0.001
6068,388,1.5643,0.001
6084,389,1.5984,0.001
6100,390,1.5769,0.001
6116,391,1.6195,0.001
6132,392,1.5723,0.001
6148,393,1.5669,0.001
6164,394,1.6136,0.001
6180,395,1.5781,0.001
6196,396,1.544,0.001
6212,397,1.5588,0.001
6228,398,1.5722,0.001
6237,399,1.5843,0.001
6253,400,1.5594,0.001
6269,401,1.5875,0.001
6285,402,1.5655,0.001
