samples,mini_batches,train_loss,lr
3660,234,0.6862,0.001
3676,235,0.4925,0.001
3692,236,0.7504,0.001
3708,237,0.8773,0.001
3724,238,0.7842,0.001
3740,239,0.469,0.001
3756,240,0.4561,0.001
3772,241,0.7359,0.001
3788,242,0.565,0.001
3804,243,1.1004,0.001
3820,244,0.8949,0.001
3836,245,0.7093,0.001
3852,246,0.4773,0.001
3861,247,0.5471,0.001
3877,248,0.7716,0.001
3893,249,0.9213,0.001
3909,250,0.5284,0.001
3925,251,0.6259,0.001
3941,252,0.6799,0.001
3957,253,0.4856,0.001
3973,254,0.7091,0.001
3989,255,0.5896,0.001
4005,256,0.5744,0.001
4021,257,0.8665,0.001
4037,258,0.4469,0.001
4053,259,0.8486,0.001
4069,260,0.8028,0.001
4085,261,0.4251,0.001
4101,262,0.6981,0.001
4117,263,0.767,0.001
4133,264,0.5734,0.001
4149,265,0.8431,0.001
4158,266,0.8939,0.001
4174,267,0.5527,0.001
4190,268,0.4602,0.001
4206,269,0.6937,0.001
4222,270,0.5177,0.001
4238,271,0.333,0.001
4254,272,0.6901,0.001
4270,273,0.7966,0.001
4286,274,0.7012,0.001
4302,275,0.6373,0.001
4318,276,1.0576,0.001
4334,277,0.719,0.001
4350,278,0.6317,0.001
4366,279,0.5584,0.001
4382,280,0.5231,0.001
4398,281,0.5694,0.001
4414,282,0.7675,0.001
4430,283,0.7042,0.001
4446,284,0.7073,0.001
4455,285,0.9948,0.001
4471,286,0.815,0.001
4487,287,0.6198,0.001
4503,288,0.4417,0.001
4519,289,0.5853,0.001
4535,290,0.4115,0.001
4551,291,0.4213,0.001
4567,292,0.926,0.001
4583,293,0.77,0.001
4599,294,0.8805,0.001
4615,295,0.5035,0.001
4631,296,0.6128,0.001
4647,297,0.5861,0.001
4663,298,0.526,0.001
4679,299,0.4321,0.001
4695,300,0.7012,0.001
4711,301,0.7888,0.001
4727,302,0.4615,0.001
4743,303,0.9263,0.001
4752,304,0.7246,0.001
4768,305,0.5178,0.001
4784,306,0.4403,0.001
4800,307,0.9086,0.001
4816,308,0.6832,0.001
4832,309,0.6392,0.001
4848,310,0.5799,0.001
4864,311,0.767,0.001
4880,312,0.288,0.001
4896,313,0.5884,0.001
4912,314,0.6282,0.001
4928,315,0.9568,0.001
4944,316,0.7469,0.001
4960,317,0.531,0.001
4976,318,0.7101,0.001
4992,319,0.4642,0.001
5008,320,0.6012,0.001
5024,321,0.5211,0.001
5040,322,0.4721,0.001
5049,323,0.4771,0.001
5065,324,0.6616,0.001
5081,325,0.5375,0.001
5097,326,0.3402,0.001
5113,327,0.5133,0.001
