samples,mini_batches,train_loss,lr
3744,234,1.8138,0.001
3760,235,1.3409,0.001
3776,236,1.6898,0.001
3792,237,1.4535,0.001
3808,238,2.1105,0.001
3824,239,1.9776,0.001
3840,240,1.5181,0.001
3856,241,1.4342,0.001
3872,242,1.4676,0.001
3888,243,1.982,0.001
3904,244,1.9004,0.001
3920,245,1.191,0.001
3936,246,1.342,0.001
3952,247,1.9232,0.001
3968,248,1.9334,0.001
3984,249,1.8063,0.001
4000,250,1.0297,0.001
4016,251,2.0665,0.001
4032,252,1.8219,0.001
4048,253,1.5796,0.001
4064,254,2.4497,0.001
4080,255,1.6089,0.001
4096,256,1.7534,0.001
4112,257,1.7089,0.001
4128,258,2.0973,0.001
4144,259,2.2406,0.001
4160,260,1.6918,0.001
4176,261,1.6776,0.001
4192,262,1.6735,0.001
4208,263,2.015,0.001
4224,264,1.363,0.001
4240,265,1.6285,0.001
4256,266,1.4413,0.001
4272,267,1.2983,0.001
4288,268,1.6671,0.001
4304,269,1.4912,0.001
4320,270,1.8827,0.001
4336,271,1.7953,0.001
4352,272,1.7679,0.001
4368,273,1.8657,0.001
4384,274,1.5179,0.001
4400,275,1.3348,0.001
4416,276,1.4918,0.001
4432,277,1.6013,0.001
4448,278,2.3453,0.001
4464,279,1.4199,0.001
4480,280,2.1319,0.001
4496,281,1.2503,0.001
4512,282,1.4789,0.001
4528,283,2.2808,0.001
4544,284,1.5377,0.001
4560,285,1.488,0.001
4576,286,1.6759,0.001
4592,287,2.0744,0.001
4608,288,1.7909,0.001
4624,289,1.8782,0.001
4640,290,1.4964,0.001
4656,291,2.1756,0.001
4672,292,2.2137,0.001
4688,293,1.7328,0.001
4704,294,1.8241,0.001
4720,295,2.3949,0.001
4736,296,1.4485,0.001
4752,297,2.149,0.001
4768,298,1.8639,0.001
4784,299,1.7884,0.001
4800,300,1.4496,0.001
4816,301,1.7776,0.001
4832,302,2.3385,0.001
4848,303,1.6879,0.001
4864,304,1.8008,0.001
4880,305,1.4007,0.001
4896,306,2.188,0.001
4912,307,1.4647,0.001
4928,308,1.5302,0.001
4944,309,1.8417,0.001
4960,310,2.0287,0.001
4976,311,1.7279,0.001
4992,312,2.1283,0.001
5008,313,2.1745,0.001
5024,314,1.7346,0.001
5040,315,1.6652,0.001
5056,316,2.0035,0.001
5072,317,1.7021,0.001
5088,318,1.5859,0.001
5104,319,1.5995,0.001
5120,320,1.8163,0.001
5136,321,2.3071,0.001
5152,322,1.5424,0.001
5168,323,1.8557,0.001
5184,324,1.824,0.001
5200,325,1.8684,0.001
5216,326,1.9494,0.001
5232,327,1.7401,0.001
5248,328,1.7796,0.001
5264,329,1.5099,0.001
5280,330,1.4865,0.001
5296,331,1.8027,0.001
5312,332,1.9404,0.001
5328,333,1.7625,0.001
5344,334,1.6872,0.001
5360,335,1.4993,0.001
5376,336,1.1816,0.001
5392,337,1.9004,0.001
5408,338,1.9744,0.001
5424,339,1.5891,0.001
5440,340,1.6452,0.001
5456,341,1.6016,0.001
5472,342,1.8117,0.001
5488,343,1.684,0.001
5504,344,1.7361,0.001
5520,345,1.5966,0.001
5536,346,1.6296,0.001
5552,347,1.6785,0.001
5568,348,1.6131,0.001
5584,349,1.923,0.001
5600,350,1.5754,0.001
5616,351,1.2358,0.001
5632,352,1.395,0.001
5648,353,1.6624,0.001
5664,354,1.8365,0.001
5680,355,1.8482,0.001
5696,356,2.0964,0.001
5712,357,1.5456,0.001
5728,358,1.3399,0.001
5744,359,1.88,0.001
5760,360,1.6264,0.001
5776,361,1.6388,0.001
5792,362,1.722,0.001
5808,363,1.861,0.001
5824,364,1.9866,0.001
5840,365,2.0008,0.001
5856,366,1.305,0.001
5872,367,1.5533,0.001
5888,368,2.5152,0.001
5904,369,1.8541,0.001
5920,370,2.1999,0.001
5936,371,1.6049,0.001
5952,372,1.2566,0.001
5968,373,1.7257,0.001
5984,374,1.2391,0.001
6000,375,1.4867,0.001
6016,376,1.5855,0.001
6032,377,1.4786,0.001
6048,378,1.7904,0.001
6064,379,1.7014,0.001
6080,380,1.6797,0.001
6096,381,1.6856,0.001
6112,382,1.7059,0.001
6128,383,1.7212,0.001
6144,384,1.6813,0.001
6160,385,1.677,0.001
6176,386,1.8526,0.001
6192,387,1.7744,0.001
6208,388,1.4502,0.001
6224,389,1.9378,0.001
6240,390,1.4411,0.001
6256,391,2.1248,0.001
6272,392,1.8736,0.001
6288,393,1.4483,0.001
6304,394,1.6383,0.001
6320,395,2.0262,0.001
6336,396,1.6463,0.001
6352,397,1.5951,0.001
6368,398,1.346,0.001
6384,399,1.8699,0.001
6400,400,2.0452,0.001
6416,401,1.6465,0.001
6432,402,1.676,0.001
6448,403,1.5284,0.001
6464,404,1.8055,0.001
6480,405,1.323,0.001
6496,406,1.5092,0.001
6512,407,2.0199,0.001
6528,408,2.0144,0.001
6544,409,1.5826,0.001
6560,410,1.8249,0.001
6576,411,2.0637,0.001
6592,412,1.4121,0.001
6608,413,1.9136,0.001
6624,414,1.61,0.001
6640,415,1.8339,0.001
6656,416,1.5592,0.001
6672,417,1.1431,0.001
6688,418,1.0659,0.001
6704,419,1.4076,0.001
6720,420,1.5155,0.001
6736,421,1.5095,0.001
6752,422,1.9705,0.001
6768,423,1.3664,0.001
6784,424,2.2692,0.001
6800,425,1.2042,0.001
6816,426,1.5221,0.001
6832,427,1.8628,0.001
6848,428,1.7425,0.001
6864,429,1.62,0.001
6880,430,2.0882,0.001
6896,431,1.3025,0.001
6912,432,2.0422,0.001
6928,433,1.9786,0.001
6944,434,2.0665,0.001
6960,435,1.595,0.001
6976,436,1.615,0.001
6992,437,1.6719,0.001
7008,438,1.7838,0.001
7024,439,1.5655,0.001
7040,440,1.4873,0.001
7056,441,1.2733,0.001
7072,442,1.6176,0.001
7088,443,1.638,0.001
7104,444,1.9309,0.001
7120,445,1.9931,0.001
7136,446,1.9004,0.001
7152,447,1.8413,0.001
7168,448,1.5315,0.001
7184,449,1.3892,0.001
7200,450,1.7413,0.001
7216,451,1.3795,0.001
7232,452,1.4077,0.001
7248,453,1.6808,0.001
7264,454,1.4576,0.001
7280,455,1.6597,0.001
7296,456,1.9119,0.001
7312,457,1.4806,0.001
7328,458,1.1592,0.001
7344,459,1.4258,0.001
7360,460,1.4027,0.001
7376,461,1.6397,0.001
7392,462,1.5885,0.001
7408,463,1.8505,0.001
7424,464,1.696,0.001
7440,465,1.2032,0.001
7456,466,1.7809,0.001
7472,467,1.2823,0.001
7488,468,1.7236,0.001
7504,469,1.909,0.001
7520,470,1.5676,0.001
7536,471,1.4062,0.001
7552,472,1.7501,0.001
7568,473,1.2693,0.001
7584,474,1.4651,0.001
7600,475,1.4642,0.001
7616,476,1.2297,0.001
7632,477,2.2096,0.001
7648,478,1.738,0.001
7664,479,1.8745,0.001
7680,480,1.6273,0.001
7696,481,1.7655,0.001
7712,482,1.6142,0.001
7728,483,1.4233,0.001
7744,484,1.5124,0.001
7760,485,1.9676,0.001
7776,486,2.3989,0.001
7792,487,1.2968,0.001
7808,488,1.6313,0.001
7824,489,1.429,0.001
7840,490,1.3664,0.001
7856,491,1.3733,0.001
7872,492,1.489,0.001
7888,493,1.737,0.001
7904,494,1.7749,0.001
7920,495,1.8499,0.001
7936,496,2.0514,0.001
7952,497,1.5452,0.001
7968,498,1.6755,0.001
7984,499,1.9351,0.001
8000,500,1.3822,0.001
8016,501,1.7093,0.001
8032,502,1.5917,0.001
8048,503,1.5314,0.001
8064,504,2.3315,0.001
8080,505,1.3665,0.001
8096,506,1.9051,0.001
8112,507,1.7231,0.001
8128,508,1.846,0.001
8144,509,1.951,0.001
8160,510,1.5435,0.001
8176,511,2.0009,0.001
8192,512,1.0703,0.001
8208,513,1.7386,0.001
8224,514,1.4758,0.001
8240,515,1.6183,0.001
8256,516,1.1893,0.001
8272,517,1.4316,0.001
8288,518,1.8692,0.001
8304,519,1.5766,0.001
8320,520,2.0174,0.001
8336,521,2.338,0.001
8352,522,1.8028,0.001
8368,523,2.2941,0.001
8384,524,1.2799,0.001
8400,525,1.7866,0.001
8416,526,1.589,0.001
8432,527,1.4462,0.001
8448,528,1.5978,0.001
8464,529,1.8221,0.001
8480,530,1.9222,0.001
8496,531,1.987,0.001
8512,532,1.6896,0.001
8528,533,1.9454,0.001
8544,534,1.9837,0.001
8560,535,1.755,0.001
8576,536,1.6001,0.001
8592,537,2.1053,0.001
8608,538,1.5569,0.001
8624,539,1.6671,0.001
8640,540,1.9265,0.001
8656,541,1.3324,0.001
8672,542,1.4611,0.001
8688,543,1.5328,0.001
8704,544,1.5436,0.001
8720,545,0.9824,0.001
8736,546,1.4028,0.001
8752,547,1.4941,0.001
8768,548,1.5588,0.001
8784,549,1.3512,0.001
8800,550,1.5437,0.001
8816,551,1.3058,0.001
8832,552,1.8643,0.001
8848,553,1.7325,0.001
